סמל_ישוב,שם_ישוב,סמל_רחוב,שם_רחוב
400 ,אבן שמואל ,121 ,העפרוני
400 ,אבן שמואל ,105 ,הרב אשר ליטוב
400 ,אבן שמואל ,102 ,הרימון
400 ,אבן שמואל ,124 ,השלדג
400 ,אבן שמואל ,111 ,השקד
400 ,אבן שמואל ,108 ,התאנה
4011 ,אבני איתן ,9000 ,אבני איתן
3793 ,אבני חפץ ,9000 ,אבני חפץ
3793 ,אבני חפץ ,104 ,אודם
3793 ,אבני חפץ ,113 ,איבי הנחל
3793 ,אבני חפץ ,119 ,ארז
3793 ,אבני חפץ ,117 ,ברקת
3793 ,אבני חפץ ,111 ,גינת אגוז
3793 ,אבני חפץ ,120 ,גלבוע
3793 ,אבני חפץ ,107 ,גלעד
3793 ,אבני חפץ ,115 ,דרך הרא"ה
3793 ,אבני חפץ ,101 ,החרמון
3793 ,אבני חפץ ,114 ,הירדן
3793 ,אבני חפץ ,110 ,המור
3793 ,אבני חפץ ,105 ,חושן
3793 ,אבני חפץ ,122 ,טופז
3793 ,אבני חפץ ,106 ,יהלום
3793 ,אבני חפץ ,108 ,כרמל
3793 ,אבני חפץ ,112 ,לבונה
3793 ,אבני חפץ ,118 ,לשם
3793 ,אבני חפץ ,6501 ,מצפה חפץ
3793 ,אבני חפץ ,103 ,ספיר
3793 ,אבני חפץ ,109 ,שחר
3793 ,אבני חפץ ,6500 ,שכ מעלה יעקב
3793 ,אבני חפץ ,102 ,שניר
3793 ,אבני חפץ ,121 ,שקד
3786 ,אבנת ,9000 ,אבנת
1311 ,אבשלום ,9000 ,אבשלום
1311 ,אבשלום ,101 ,שכ קרוונים
3759 ,אדורה ,9000 ,אדורה
3759 ,אדורה ,112 ,האגוז
3759 ,אדורה ,101 ,האורן
3759 ,אדורה ,111 ,האילנית
3759 ,אדורה ,104 ,האלה
3759 ,אדורה ,102 ,האלון
3759 ,אדורה ,105 ,האשל
3759 ,אדורה ,103 ,הברוש
3759 ,אדורה ,110 ,הדקל
3759 ,אדורה ,108 ,הזית
3759 ,אדורה ,106 ,החרוב
3759 ,אדורה ,107 ,הרימון
3759 ,אדורה ,109 ,התמר
3987 ,אדורים ,9000 ,אדורים
113 ,אדירים ,9000 ,אדירים
